date,areaType,areaCode,areaName,newCasesByPublishDate,newCasesBySpecimenDate
2020-02-04,overview,K02000001,United Kingdom,0,0.0
2020-02-03,overview,K02000001,United Kingdom,0,0.0
2020-02-02,overview,K02000001,United Kingdom,0,0.0
2020-02-01,overview,K02000001,United Kingdom,0,0.0
2020-01-31,overview,K02000001,United Kingdom,2,0.0
2020-01-30,overview,K02000001,United Kingdom,0,2.0
2020-01-29,overview,K02000001,United Kingdom,0,0.0
2020-01-28,overview,K02000001,United Kingdom,0,0.0
2020-01-27,overview,K02000001,United Kingdom,0,0.0
2020-01-26,overview,K02000001,United Kingdom,0,0.0
2020-01-25,overview,K02000001,United Kingdom,0,0.0
2020-01-24,overview,K02000001,United Kingdom,0,0.0
2020-01-23,overview,K02000001,United Kingdom,0,0.0
2020-01-22,overview,K02000001,United Kingdom,0,0.0
2020-01-21,overview,K02000001,United Kingdom,0,0.0
2020-01-20,overview,K02000001,United Kingdom,0,0.0
2020-01-19,overview,K02000001,United Kingdom,0,0.0
2020-01-18,overview,K02000001,United Kingdom,0,0.0
2020-01-17,overview,K02000001,United Kingdom,0,0.0
2020-01-16,overview,K02000001,United Kingdom,0,0.0
2020-01-15,overview,K02000001,United Kingdom,0,
2020-01-14,overview,K02000001,United Kingdom,0,
2020-01-13,overview,K02000001,United Kingdom,0,
2020-01-12,overview,K02000001,United Kingdom,0,
2020-01-11,overview,K02000001,United Kingdom,0,
2020-01-10,overview,K02000001,United Kingdom,0,
2020-01-09,overview,K02000001,United Kingdom,0,
2020-01-08,overview,K02000001,United Kingdom,0,
2020-01-07,overview,K02000001,United Kingdom,0,
2020-01-06,overview,K02000001,United Kingdom,0,
2020-01-05,overview,K02000001,United Kingdom,0,
2020-01-04,overview,K02000001,United Kingdom,0,
2020-01-03,overview,K02000001,United Kingdom,0,
